Project Name : Project Name
Sample Name : Sample Name
Measurement No : 1
Measurement Time : 10/13/2021   10:45:15

Pixel   Wavelength(nm)    Intensity
   1         284.37        46
   2         284.73        43
   3         285.08        47
   4         285.44        45
   5         285.80        40
   6         286.15        42
   7         286.51        45
   8         286.86        45
   9         287.22        46
  10         287.58        49
  11         287.93        43
  12         288.29        46
  13         288.64        44
  14         289.00        42
  15         289.36        50
  16         289.71        46
  17         290.07        47
  18         290.43        44
  19         290.78        42
  20         291.14        37
  21         291.50        43
  22         291.85        50
  23         292.21        44
  24         292.57        51
  25         292.93        47
  26         293.28        45
  27         293.64        48
  28         294.00        48
  29         294.35        48
  30         294.71        48
  31         295.07        47
  32         295.43        47
  33         295.78        54
  34         296.14        46
  35         296.50        51
  36         296.86        44
  37         297.22        53
  38         297.57        48
  39         297.93        53
  40         298.29        47
  41         298.65        46
  42         299.01        46
  43         299.36        49
  44         299.72        45
  45         300.08        48
  46         300.44        47
  47         300.80        49
  48         301.16        47
  49         301.51        46
  50         301.87        46
  51         302.23        51
  52         302.59        44
  53         302.95        52
  54         303.31        43
  55         303.67        52
  56         304.03        48
  57         304.39        48
  58         304.74        45
  59         305.10        47
  60         305.46        53
  61         305.82        45
  62         306.18        49
  63         306.54        43
  64         306.90        45
  65         307.26        47
  66         307.62        51
  67         307.98        47
  68         308.34        49
  69         308.70        45
  70         309.06        45
  71         309.42        48
  72         309.78        47
  73         310.14        49
  74         310.50        48
  75         310.86        40
  76         311.22        47
  77         311.58        46
  78         311.94        44
  79         312.30        43
  80         312.66        39
  81         313.02        49
  82         313.38        48
  83         313.74        44
  84         314.11        43
  85         314.47        50
  86         314.83        55
  87         315.19        47
  88         315.55        47
  89         315.91        45
  90         316.27        44
  91         316.63        52
  92         316.99        44
  93         317.36        42
  94         317.72        42
  95         318.08        42
  96         318.44        41
  97         318.80        44
  98         319.16        41
  99         319.52        46
 100         319.89        41
 101         320.25        48
 102         320.61        53
 103         320.97        44
 104         321.33        42
 105         321.70        38
 106         322.06        44
 107         322.42        44
 108         322.78        48
 109         323.14        46
 110         323.51        38
 111         323.87        44
 112         324.23        50
 113         324.59        44
 114         324.96        41
 115         325.32        39
 116         325.68        52
 117         326.05        45
 118         326.41        43
 119         326.77        43
 120         327.13        39
 121         327.50        38
 122         327.86        41
 123         328.22        45
 124         328.59        46
 125         328.95        41
 126         329.31        41
 127         329.68        42
 128         330.04        43
 129         330.40        44
 130         330.77        41
 131         331.13        39
 132         331.49        41
 133         331.86        43
 134         332.22        42
 135         332.59        39
 136         332.95        37
 137         333.31        42
 138         333.68        38
 139         334.04        43
 140         334.41        44
 141         334.77        42
 142         335.14        43
 143         335.50        46
 144         335.86        42
 145         336.23        41
 146         336.59        44
 147         336.96        42
 148         337.32        38
 149         337.69        43
 150         338.05        43
 151         338.42        46
 152         338.78        34
 153         339.15        45
 154         339.51        47
 155         339.88        39
 156         340.24        46
 157         340.61        43
 158         340.97        42
 159         341.34        39
 160         341.70        38
 161         342.07        40
 162         342.43        35
 163         342.80        40
 164         343.17        42
 165         343.53        42
 166         343.90        42
 167         344.26        41
 168         344.63        40
 169         344.99        44
 170         345.36        46
 171         345.73        43
 172         346.09        41
 173         346.46        38
 174         346.82        42
 175         347.19        42
 176         347.56        46
 177         347.92        43
 178         348.29        45
 179         348.66        41
 180         349.02        39
 181         349.39        46
 182         349.76        45
 183         350.12        38
 184         350.49        45
 185         350.86        41
 186         351.22        42
 187         351.59        44
 188         351.96        47
 189         352.33        44
 190         352.69        42
 191         353.06        43
 192         353.43        51
 193         353.79        46
 194         354.16        49
 195         354.53        49
 196         354.90        47
 197         355.26        42
 198         355.63        47
 199         356.00        46
 200         356.37        45
 201         356.74        44
 202         357.10        47
 203         357.47        43
 204         357.84        45
 205         358.21        48
 206         358.57        47
 207         358.94        45
 208         359.31        51
 209         359.68        46
 210         360.05        46
 211         360.42        44
 212         360.78        46
 213         361.15        48
 214         361.52        47
 215         361.89        49
 216         362.26        48
 217         362.63        51
 218         363.00        47
 219         363.37        47
 220         363.73        47
 221         364.10        47
 222         364.47        46
 223         364.84        49
 224         365.21        51
 225         365.58        50
 226         365.95        51
 227         366.32        51
 228         366.69        50
 229         367.06        45
 230         367.43        51
 231         367.80        52
 232         368.17        51
 233         368.54        48
 234         368.90        47
 235         369.27        46
 236         369.64        51
 237         370.01        48
 238         370.38        51
 239         370.75        47
 240         371.12        51
 241         371.49        40
 242         371.86        45
 243         372.23        46
 244         372.61        48
 245         372.98        46
 246         373.35        46
 247         373.72        54
 248         374.09        56
 249         374.46        43
 250         374.83        47
 251         375.20        44
 252         375.57        44
 253         375.94        50
 254         376.31        52
 255         376.68        48
 256         377.05        49
 257         377.42        46
 258         377.79        44
 259         378.17        45
 260         378.54        46
 261         378.91        44
 262         379.28        48
 263         379.65        47
 264         380.02        48
 265         380.39        47
 266         380.77        47
 267         381.14        49
 268         381.51        43
 269         381.88        40
 270         382.25        43
 271         382.62        45
 272         383.00        51
 273         383.37        41
 274         383.74        45
 275         384.11        47
 276         384.48        46
 277         384.86        42
 278         385.23        41
 279         385.60        46
 280         385.97        44
 281         386.35        44
 282         386.72        46
 283         387.09        48
 284         387.46        43
 285         387.84        43
 286         388.21        48
 287         388.58        57
 288         388.95        43
 289         389.33        45
 290         389.70        47
 291         390.07        45
 292         390.44        42
 293         390.82        40
 294         391.19        44
 295         391.56        38
 296         391.94        38
 297         392.31        39
 298         392.68        38
 299         393.06        39
 300         393.43        47
 301         393.80        43
 302         394.18        44
 303         394.55        47
 304         394.92        43
 305         395.30        36
 306         395.67        44
 307         396.05        39
 308         396.42        46
 309         396.79        40
 310         397.17        44
 311         397.54        44
 312         397.92        41
 313         398.29        42
 314         398.66        41
 315         399.04        47
 316         399.41        43
 317         399.79        40
 318         400.16        39
 319         400.54        43
 320         400.91        44
 321         401.28        45
 322         401.66        41
 323         402.03        45
 324         402.41        41
 325         402.78        42
 326         403.16        45
 327         403.53        43
 328         403.91        48
 329         404.28        39
 330         404.66        40
 331         405.03        43
 332         405.41        47
 333         405.78        39
 334         406.16        40
 335         406.53        43
 336         406.91        44
 337         407.29        47
 338         407.66        38
 339         408.04        41
 340         408.41        40
 341         408.79        40
 342         409.16        49
 343         409.54        47
 344         409.92        45
 345         410.29        38
 346         410.67        44
 347         411.04        40
 348         411.42        40
 349         411.79        37
 350         412.17        34
 351         412.55        43
 352         412.92        41
 353         413.30        47
 354         413.68        41
 355         414.05        42
 356         414.43        43
 357         414.81        44
 358         415.18        40
 359         415.56        36
 360         415.94        43
 361         416.31        43
 362         416.69        39
 363         417.07        45
 364         417.44        35
 365         417.82        39
 366         418.20        44
 367         418.57        37
 368         418.95        36
 369         419.33        40
 370         419.71        42
 371         420.08        46
 372         420.46        44
 373         420.84        46
 374         421.21        43
 375         421.59        41
 376         421.97        45
 377         422.35        52
 378         422.72        41
 379         423.10        47
 380         423.48        42
 381         423.86        44
 382         424.24        39
 383         424.61        46
 384         424.99        45
 385         425.37        43
 386         425.75        42
 387         426.13        45
 388         426.50        49
 389         426.88        41
 390         427.26        45
 391         427.64        44
 392         428.02        43
 393         428.40        42
 394         428.77        38
 395         429.15        44
 396         429.53        43
 397         429.91        41
 398         430.29        44
 399         430.67        50
 400         431.05        41
 401         431.42        46
 402         431.80        49
 403         432.18        46
 404         432.56        44
 405         432.94        42
 406         433.32        48
 407         433.70        40
 408         434.08        41
 409         434.46        42
 410         434.84        46
 411         435.22        46
 412         435.60        40
 413         435.98        45
 414         436.35        47
 415         436.73        40
 416         437.11        44
 417         437.49        43
 418         437.87        45
 419         438.25        45
 420         438.63        45
 421         439.01        48
 422         439.39        43
 423         439.77        47
 424         440.15        45
 425         440.53        43
 426         440.91        42
 427         441.29        45
 428         441.67        45
 429         442.05        39
 430         442.43        42
 431         442.81        48
 432         443.19        48
 433         443.58        43
 434         443.96        49
 435         444.34        46
 436         444.72        48
 437         445.10        44
 438         445.48        42
 439         445.86        47
 440         446.24        43
 441         446.62        38
 442         447.00        47
 443         447.38        47
 444         447.76        44
 445         448.15        46
 446         448.53        44
 447         448.91        45
 448         449.29        41
 449         449.67        46
 450         450.05        47
 451         450.43        48
 452         450.81        50
 453         451.20        47
 454         451.58        34
 455         451.96        46
 456         452.34        45
 457         452.72        48
 458         453.10        43
 459         453.49        37
 460         453.87        43
 461         454.25        41
 462         454.63        39
 463         455.01        39
 464         455.40        41
 465         455.78        46
 466         456.16        43
 467         456.54        42
 468         456.92        44
 469         457.31        42
 470         457.69        44
 471         458.07        43
 472         458.45        42
 473         458.84        46
 474         459.22        47
 475         459.60        48
 476         459.98        50
 477         460.37        42
 478         460.75        43
 479         461.13        47
 480         461.52        50
 481         461.90        42
 482         462.28        49
 483         462.66        44
 484         463.05        43
 485         463.43        47
 486         463.81        51
 487         464.20        42
 488         464.58        43
 489         464.96        45
 490         465.35        44
 491         465.73        43
 492         466.11        43
 493         466.50        43
 494         466.88        43
 495         467.27        47
 496         467.65        40
 497         468.03        42
 498         468.42        46
 499         468.80        50
 500         469.18        46
 501         469.57        42
 502         469.95        43
 503         470.34        46
 504         470.72        44
 505         471.10        47
 506         471.49        47
 507         471.87        47
 508         472.26        49
 509         472.64        48
 510         473.03        56
 511         473.41        59
 512         473.79        59
 513         474.18        59
 514         474.56        70
 515         474.95        72
 516         475.33        73
 517         475.72        78
 518         476.10        89
 519         476.49       100
 520         476.87       108
 521         477.26       126
 522         477.64       129
 523         478.03       151
 524         478.41       164
 525         478.80       182
 526         479.18       203
 527         479.57       222
 528         479.95       255
 529         480.34       278
 530         480.72       309
 531         481.11       342
 532         481.49       371
 533         481.88       392
 534         482.26       427
 535         482.65       458
 536         483.04       495
 537         483.42       533
 538         483.81       568
 539         484.19       612
 540         484.58       633
 541         484.96       671
 542         485.35       709
 543         485.74       758
 544         486.12       760
 545         486.51       803
 546         486.89       857
 547         487.28       855
 548         487.67       874
 549         488.05       913
 550         488.44       953
 551         488.83       983
 552         489.21       975
 553         489.60      1018
 554         489.99      1031
 555         490.37      1025
 556         490.76      1043
 557         491.14      1072
 558         491.53      1092
 559         491.92      1099
 560         492.31      1091
 561         492.69      1119
 562         493.08      1137
 563         493.47      1152
 564         493.85      1134
 565         494.24      1142
 566         494.63      1160
 567         495.01      1153
 568         495.40      1162
 569         495.79      1153
 570         496.18      1168
 571         496.56      1163
 572         496.95      1151
 573         497.34      1158
 574         497.72      1169
 575         498.11      1194
 576         498.50      1197
 577         498.89      1188
 578         499.28      1190
 579         499.66      1214
 580         500.05      1200
 581         500.44      1208
 582         500.83      1234
 583         501.21      1216
 584         501.60      1230
 585         501.99      1253
 586         502.38      1246
 587         502.77      1242
 588         503.15      1246
 589         503.54      1237
 590         503.93      1247
 591         504.32      1264
 592         504.71      1242
 593         505.09      1278
 594         505.48      1265
 595         505.87      1275
 596         506.26      1284
 597         506.65      1300
 598         507.04      1290
 599         507.43      1325
 600         507.81      1304
 601         508.20      1325
 602         508.59      1329
 603         508.98      1338
 604         509.37      1331
 605         509.76      1345
 606         510.15      1361
 607         510.54      1348
 608         510.93      1353
 609         511.31      1353
 610         511.70      1369
 611         512.09      1409
 612         512.48      1395
 613         512.87      1410
 614         513.26      1376
 615         513.65      1402
 616         514.04      1438
 617         514.43      1413
 618         514.82      1453
 619         515.21      1455
 620         515.60      1452
 621         515.99      1460
 622         516.38      1465
 623         516.77      1466
 624         517.16      1485
 625         517.55      1484
 626         517.94      1481
 627         518.33      1486
 628         518.72      1465
 629         519.11      1458
 630         519.50      1477
 631         519.89      1490
 632         520.28      1505
 633         520.67      1503
 634         521.06      1486
 635         521.45      1490
 636         521.84      1494
 637         522.23      1502
 638         522.62      1483
 639         523.01      1500
 640         523.40      1517
 641         523.79      1511
 642         524.18      1494
 643         524.57      1506
 644         524.96      1514
 645         525.35      1498
 646         525.74      1496
 647         526.13      1519
 648         526.52      1493
 649         526.91      1500
 650         527.31      1520
 651         527.70      1528
 652         528.09      1494
 653         528.48      1518
 654         528.87      1519
 655         529.26      1513
 656         529.65      1543
 657         530.04      1536
 658         530.43      1550
 659         530.83      1553
 660         531.22      1549
 661         531.61      1572
 662         532.00      1573
 663         532.39      1594
 664         532.78      1582
 665         533.17      1570
 666         533.57      1564
 667         533.96      1588
 668         534.35      1601
 669         534.74      1592
 670         535.13      1575
 671         535.52      1621
 672         535.92      1594
 673         536.31      1601
 674         536.70      1619
 675         537.09      1615
 676         537.48      1630
 677         537.88      1633
 678         538.27      1635
 679         538.66      1616
 680         539.05      1616
 681         539.45      1595
 682         539.84      1626
 683         540.23      1628
 684         540.62      1625
 685         541.02      1613
 686         541.41      1594
 687         541.80      1609
 688         542.19      1566
 689         542.59      1567
 690         542.98      1556
 691         543.37      1582
 692         543.76      1565
 693         544.16      1565
 694         544.55      1564
 695         544.94      1561
 696         545.34      1571
 697         545.73      1550
 698         546.12      1557
 699         546.51      1561
 700         546.91      1553
 701         547.30      1561
 702         547.69      1548
 703         548.09      1563
 704         548.48      1562
 705         548.87      1539
 706         549.27      1556
 707         549.66      1539
 708         550.05      1541
 709         550.45      1542
 710         550.84      1520
 711         551.24      1516
 712         551.63      1512
 713         552.02      1517
 714         552.42      1529
 715         552.81      1498
 716         553.20      1492
 717         553.60      1494
 718         553.99      1485
 719         554.39      1489
 720         554.78      1480
 721         555.17      1487
 722         555.57      1469
 723         555.96      1450
 724         556.36      1458
 725         556.75      1463
 726         557.14      1418
 727         557.54      1432
 728         557.93      1432
 729         558.33      1420
 730         558.72      1385
 731         559.12      1362
 732         559.51      1336
 733         559.91      1308
 734         560.30      1269
 735         560.69      1210
 736         561.09      1165
 737         561.48      1080
 738         561.88      1046
 739         562.27       964
 740         562.67       915
 741         563.06       855
 742         563.46       824
 743         563.85       785
 744         564.25       764
 745         564.64       748
 746         565.04       756
 747         565.43       778
 748         565.83       812
 749         566.22       841
 750         566.62       914
 751         567.01       933
 752         567.41       994
 753         567.80      1050
 754         568.20      1060
 755         568.60      1066
 756         568.99      1118
 757         569.39      1121
 758         569.78      1134
 759         570.18      1161
 760         570.57      1161
 761         570.97      1146
 762         571.36      1165
 763         571.76      1167
 764         572.16      1195
 765         572.55      1184
 766         572.95      1192
 767         573.34      1176
 768         573.74      1180
 769         574.14      1183
 770         574.53      1186
 771         574.93      1180
 772         575.32      1172
 773         575.72      1155
 774         576.12      1161
 775         576.51      1146
 776         576.91      1119
 777         577.31      1163
 778         577.70      1138
 779         578.10      1124
 780         578.50      1120
 781         578.89      1096
 782         579.29      1113
 783         579.69      1075
 784         580.08      1079
 785         580.48      1089
 786         580.88      1074
 787         581.27      1098
 788         581.67      1073
 789         582.07      1063
 790         582.46      1055
 791         582.86      1059
 792         583.26      1066
 793         583.65      1044
 794         584.05      1052
 795         584.45      1049
 796         584.84      1064
 797         585.24      1041
 798         585.64      1034
 799         586.04      1054
 800         586.43      1051
 801         586.83      1042
 802         587.23      1035
 803         587.63      1028
 804         588.02      1033
 805         588.42      1033
 806         588.82      1041
 807         589.22      1031
 808         589.61      1023
 809         590.01      1039
 810         590.41      1042
 811         590.81      1009
 812         591.20      1011
 813         591.60      1004
 814         592.00       993
 815         592.40      1016
 816         592.80      1006
 817         593.19       975
 818         593.59       996
 819         593.99       966
 820         594.39       971
 821         594.79       950
 822         595.18       950
 823         595.58       956
 824         595.98       944
 825         596.38       929
 826         596.78       925
 827         597.18       925
 828         597.57       907
 829         597.97       895
 830         598.37       930
 831         598.77       902
 832         599.17       883
 833         599.57       871
 834         599.97       890
 835         600.36       860
 836         600.76       864
 837         601.16       842
 838         601.56       860
 839         601.96       855
 840         602.36       835
 841         602.76       826
 842         603.16       828
 843         603.56       821
 844         603.95       810
 845         604.35       826
 846         604.75       795
 847         605.15       807
 848         605.55       813
 849         605.95       797
 850         606.35       797
 851         606.75       799
 852         607.15       770
 853         607.55       793
 854         607.95       766
 855         608.35       774
 856         608.75       772
 857         609.15       773
 858         609.55       746
 859         609.95       741
 860         610.35       738
 861         610.74       748
 862         611.14       722
 863         611.54       734
 864         611.94       722
 865         612.34       693
 866         612.74       714
 867         613.14       703
 868         613.54       685
 869         613.94       676
 870         614.34       679
 871         614.74       667
 872         615.14       670
 873         615.54       661
 874         615.94       633
 875         616.34       634
 876         616.74       628
 877         617.15       635
 878         617.55       616
 879         617.95       610
 880         618.35       612
 881         618.75       584
 882         619.15       590
 883         619.55       577
 884         619.95       565
 885         620.35       573
 886         620.75       561
 887         621.15       558
 888         621.55       538
 889         621.95       540
 890         622.35       541
 891         622.75       523
 892         623.15       526
 893         623.56       518
 894         623.96       529
 895         624.36       504
 896         624.76       506
 897         625.16       496
 898         625.56       501
 899         625.96       499
 900         626.36       486
 901         626.76       484
 902         627.17       478
 903         627.57       485
 904         627.97       467
 905         628.37       459
 906         628.77       465
 907         629.17       483
 908         629.57       463
 909         629.98       452
 910         630.38       454
 911         630.78       442
 912         631.18       442
 913         631.58       438
 914         631.98       415
 915         632.39       434
 916         632.79       418
 917         633.19       419
 918         633.59       417
 919         633.99       410
 920         634.39       414
 921         634.80       407
 922         635.20       396
 923         635.60       395
 924         636.00       414
 925         636.40       407
 926         636.81       387
 927         637.21       387
 928         637.61       376
 929         638.01       376
 930         638.42       378
 931         638.82       358
 932         639.22       354
 933         639.62       365
 934         640.03       364
 935         640.43       358
 936         640.83       354
 937         641.23       349
 938         641.64       342
 939         642.04       337
 940         642.44       339
 941         642.84       336
 942         643.25       328
 943         643.65       321
 944         644.05       316
 945         644.45       308
 946         644.86       318
 947         645.26       315
 948         645.66       309
 949         646.07       310
 950         646.47       307
 951         646.87       288
 952         647.28       299
 953         647.68       297
 954         648.08       289
 955         648.49       283
 956         648.89       287
 957         649.29       282
 958         649.69       280
 959         650.10       273
 960         650.50       284
 961         650.91       276
 962         651.31       271
 963         651.71       273
 964         652.12       262
 965         652.52       263
 966         652.92       273
 967         653.33       264
 968         653.73       256
 969         654.13       266
 970         654.54       262
 971         654.94       256
 972         655.34       248
 973         655.75       265
 974         656.15       260
 975         656.56       249
 976         656.96       250
 977         657.36       257
 978         657.77       254
 979         658.17       245
 980         658.58       235
 981         658.98       244
 982         659.38       240
 983         659.79       244
 984         660.19       237
 985         660.60       239
 986         661.00       247
 987         661.41       235
 988         661.81       230
 989         662.21       234
 990         662.62       234
 991         663.02       239
 992         663.43       241
 993         663.83       216
 994         664.24       211
 995         664.64       219
 996         665.05       210
 997         665.45       218
 998         665.86       209
 999         666.26       211
1000         666.67       212
1001         667.07       206
1002         667.48       204
1003         667.88       199
1004         668.28       204
1005         668.69       187
1006         669.09       180
1007         669.50       186
1008         669.90       180
1009         670.31       175
1010         670.72       179
1011         671.12       179
1012         671.53       183
1013         671.93       177
1014         672.34       179
1015         672.74       170
1016         673.15       176
1017         673.55       163
1018         673.96       166
1019         674.36       164
