Project Name : Project Name
Sample Name : Sample Name
Measurement No : 1
Measurement Time : 10/13/2021   10:46:20

Pixel   Wavelength(nm)    Intensity
   1         284.37        34
   2         284.73        40
   3         285.08        40
   4         285.44        47
   5         285.80        36
   6         286.15        34
   7         286.51        38
   8         286.86        39
   9         287.22        40
  10         287.58        41
  11         287.93        39
  12         288.29        41
  13         288.64        38
  14         289.00        39
  15         289.36        34
  16         289.71        41
  17         290.07        43
  18         290.43        32
  19         290.78        37
  20         291.14        37
  21         291.50        44
  22         291.85        40
  23         292.21        37
  24         292.57        39
  25         292.93        37
  26         293.28        40
  27         293.64        40
  28         294.00        42
  29         294.35        37
  30         294.71        47
  31         295.07        38
  32         295.43        40
  33         295.78        33
  34         296.14        35
  35         296.50        39
  36         296.86        34
  37         297.22        36
  38         297.57        38
  39         297.93        41
  40         298.29        41
  41         298.65        33
  42         299.01        35
  43         299.36        30
  44         299.72        32
  45         300.08        37
  46         300.44        43
  47         300.80        34
  48         301.16        35
  49         301.51        39
  50         301.87        35
  51         302.23        35
  52         302.59        38
  53         302.95        36
  54         303.31        36
  55         303.67        29
  56         304.03        39
  57         304.39        37
  58         304.74        29
  59         305.10        37
  60         305.46        35
  61         305.82        33
  62         306.18        39
  63         306.54        35
  64         306.90        29
  65         307.26        38
  66         307.62        31
  67         307.98        38
  68         308.34        36
  69         308.70        40
  70         309.06        35
  71         309.42        31
  72         309.78        32
  73         310.14        35
  74         310.50        37
  75         310.86        35
  76         311.22        33
  77         311.58        38
  78         311.94        39
  79         312.30        36
  80         312.66        44
  81         313.02        37
  82         313.38        37
  83         313.74        34
  84         314.11        32
  85         314.47        38
  86         314.83        53
  87         315.19        39
  88         315.55        33
  89         315.91        37
  90         316.27        36
  91         316.63        42
  92         316.99        39
  93         317.36        33
  94         317.72        39
  95         318.08        36
  96         318.44        38
  97         318.80        44
  98         319.16        37
  99         319.52        35
 100         319.89        36
 101         320.25        36
 102         320.61        41
 103         320.97        35
 104         321.33        38
 105         321.70        41
 106         322.06        42
 107         322.42        40
 108         322.78        44
 109         323.14        45
 110         323.51        37
 111         323.87        39
 112         324.23        35
 113         324.59        40
 114         324.96        39
 115         325.32        45
 116         325.68        46
 117         326.05        41
 118         326.41        41
 119         326.77        45
 120         327.13        43
 121         327.50        39
 122         327.86        42
 123         328.22        35
 124         328.59        42
 125         328.95        45
 126         329.31        43
 127         329.68        41
 128         330.04        43
 129         330.40        44
 130         330.77        43
 131         331.13        43
 132         331.49        42
 133         331.86        43
 134         332.22        42
 135         332.59        45
 136         332.95        40
 137         333.31        40
 138         333.68        44
 139         334.04        38
 140         334.41        48
 141         334.77        43
 142         335.14        43
 143         335.50        43
 144         335.86        42
 145         336.23        44
 146         336.59        47
 147         336.96        41
 148         337.32        43
 149         337.69        48
 150         338.05        44
 151         338.42        50
 152         338.78        45
 153         339.15        45
 154         339.51        38
 155         339.88        45
 156         340.24        43
 157         340.61        45
 158         340.97        39
 159         341.34        45
 160         341.70        40
 161         342.07        41
 162         342.43        42
 163         342.80        41
 164         343.17        42
 165         343.53        40
 166         343.90        42
 167         344.26        45
 168         344.63        37
 169         344.99        45
 170         345.36        41
 171         345.73        46
 172         346.09        41
 173         346.46        42
 174         346.82        35
 175         347.19        40
 176         347.56        45
 177         347.92        47
 178         348.29        41
 179         348.66        43
 180         349.02        42
 181         349.39        36
 182         349.76        43
 183         350.12        41
 184         350.49        44
 185         350.86        36
 186         351.22        38
 187         351.59        37
 188         351.96        43
 189         352.33        45
 190         352.69        46
 191         353.06        37
 192         353.43        40
 193         353.79        44
 194         354.16        38
 195         354.53        36
 196         354.90        39
 197         355.26        41
 198         355.63        39
 199         356.00        40
 200         356.37        32
 201         356.74        41
 202         357.10        36
 203         357.47        39
 204         357.84        40
 205         358.21        43
 206         358.57        38
 207         358.94        39
 208         359.31        39
 209         359.68        40
 210         360.05        42
 211         360.42        38
 212         360.78        39
 213         361.15        35
 214         361.52        34
 215         361.89        40
 216         362.26        37
 217         362.63        38
 218         363.00        34
 219         363.37        36
 220         363.73        41
 221         364.10        41
 222         364.47        40
 223         364.84        32
 224         365.21        37
 225         365.58        43
 226         365.95        40
 227         366.32        38
 228         366.69        36
 229         367.06        36
 230         367.43        39
 231         367.80        42
 232         368.17        38
 233         368.54        40
 234         368.90        38
 235         369.27        42
 236         369.64        38
 237         370.01        37
 238         370.38        38
 239         370.75        38
 240         371.12        36
 241         371.49        40
 242         371.86        36
 243         372.23        44
 244         372.61        34
 245         372.98        34
 246         373.35        35
 247         373.72        38
 248         374.09        45
 249         374.46        32
 250         374.83        34
 251         375.20        39
 252         375.57        35
 253         375.94        29
 254         376.31        33
 255         376.68        34
 256         377.05        38
 257         377.42        33
 258         377.79        33
 259         378.17        32
 260         378.54        35
 261         378.91        36
 262         379.28        35
 263         379.65        31
 264         380.02        44
 265         380.39        40
 266         380.77        35
 267         381.14        35
 268         381.51        35
 269         381.88        37
 270         382.25        39
 271         382.62        36
 272         383.00        34
 273         383.37        38
 274         383.74        48
 275         384.11        38
 276         384.48        40
 277         384.86        43
 278         385.23        37
 279         385.60        41
 280         385.97        35
 281         386.35        42
 282         386.72        42
 283         387.09        35
 284         387.46        38
 285         387.84        40
 286         388.21        40
 287         388.58        42
 288         388.95        39
 289         389.33        41
 290         389.70        42
 291         390.07        44
 292         390.44        41
 293         390.82        37
 294         391.19        43
 295         391.56        41
 296         391.94        41
 297         392.31        42
 298         392.68        44
 299         393.06        44
 300         393.43        40
 301         393.80        40
 302         394.18        40
 303         394.55        41
 304         394.92        38
 305         395.30        42
 306         395.67        40
 307         396.05        46
 308         396.42        45
 309         396.79        44
 310         397.17        44
 311         397.54        40
 312         397.92        43
 313         398.29        47
 314         398.66        41
 315         399.04        42
 316         399.41        36
 317         399.79        38
 318         400.16        47
 319         400.54        40
 320         400.91        45
 321         401.28        48
 322         401.66        50
 323         402.03        46
 324         402.41        42
 325         402.78        45
 326         403.16        44
 327         403.53        47
 328         403.91        45
 329         404.28        46
 330         404.66        47
 331         405.03        43
 332         405.41        46
 333         405.78        41
 334         406.16        44
 335         406.53        51
 336         406.91        47
 337         407.29        51
 338         407.66        52
 339         408.04        51
 340         408.41        50
 341         408.79        39
 342         409.16        54
 343         409.54        55
 344         409.92        50
 345         410.29        55
 346         410.67        50
 347         411.04        49
 348         411.42        57
 349         411.79        56
 350         412.17        57
 351         412.55        58
 352         412.92        56
 353         413.30        58
 354         413.68        56
 355         414.05        58
 356         414.43        66
 357         414.81        64
 358         415.18        63
 359         415.56        66
 360         415.94        64
 361         416.31        74
 362         416.69        70
 363         417.07        67
 364         417.44        75
 365         417.82        81
 366         418.20        80
 367         418.57        83
 368         418.95        82
 369         419.33        88
 370         419.71        86
 371         420.08        94
 372         420.46        93
 373         420.84        99
 374         421.21       108
 375         421.59       105
 376         421.97       107
 377         422.35       114
 378         422.72       121
 379         423.10       123
 380         423.48       132
 381         423.86       139
 382         424.24       135
 383         424.61       138
 384         424.99       145
 385         425.37       153
 386         425.75       162
 387         426.13       176
 388         426.50       180
 389         426.88       183
 390         427.26       179
 391         427.64       197
 392         428.02       214
 393         428.40       217
 394         428.77       239
 395         429.15       219
 396         429.53       242
 397         429.91       262
 398         430.29       245
 399         430.67       276
 400         431.05       279
 401         431.42       294
 402         431.80       302
 403         432.18       305
 404         432.56       312
 405         432.94       341
 406         433.32       347
 407         433.70       336
 408         434.08       342
 409         434.46       371
 410         434.84       410
 411         435.22       414
 412         435.60       416
 413         435.98       427
 414         436.35       459
 415         436.73       487
 416         437.11       476
 417         437.49       528
 418         437.87       533
 419         438.25       508
 420         438.63       554
 421         439.01       561
 422         439.39       511
 423         439.77       608
 424         440.15       597
 425         440.53       600
 426         440.91       606
 427         441.29       589
 428         441.67       634
 429         442.05       673
 430         442.43       692
 431         442.81       666
 432         443.19       713
 433         443.58       674
 434         443.96       706
 435         444.34       732
 436         444.72       755
 437         445.10       791
 438         445.48       765
 439         445.86       781
 440         446.24       806
 441         446.62       829
 442         447.00       831
 443         447.38       824
 444         447.76       872
 445         448.15       907
 446         448.53       905
 447         448.91       972
 448         449.29       995
 449         449.67       987
 450         450.05       996
 451         450.43       952
 452         450.81      1001
 453         451.20      1165
 454         451.58      1209
 455         451.96      1166
 456         452.34      1084
 457         452.72      1206
 458         453.10      1236
 459         453.49      1306
 460         453.87      1182
 461         454.25      1232
 462         454.63      1225
 463         455.01      1276
 464         455.40      1370
 465         455.78      1383
 466         456.16      1549
 467         456.54      1434
 468         456.92      1330
 469         457.31      1383
 470         457.69      1265
 471         458.07      1383
 472         458.45      1402
 473         458.84      1676
 474         459.22      1614
 475         459.60      1760
 476         459.98      1660
 477         460.37      1475
 478         460.75      1405
 479         461.13      1547
 480         461.52      1525
 481         461.90      1646
 482         462.28      1594
 483         462.66      1513
 484         463.05      1516
 485         463.43      1569
 486         463.81      1524
 487         464.20      1456
 488         464.58      1494
 489         464.96      1624
 490         465.35      1440
 491         465.73      1514
 492         466.11      1601
 493         466.50      1575
 494         466.88      1482
 495         467.27      1462
 496         467.65      1525
 497         468.03      1509
 498         468.42      1416
 499         468.80      1467
 500         469.18      1477
 501         469.57      1463
 502         469.95      1528
 503         470.34      1467
 504         470.72      1470
 505         471.10      1383
 506         471.49      1446
 507         471.87      1427
 508         472.26      1409
 509         472.64      1369
 510         473.03      1416
 511         473.41      1350
 512         473.79      1366
 513         474.18      1357
 514         474.56      1340
 515         474.95      1327
 516         475.33      1335
 517         475.72      1292
 518         476.10      1287
 519         476.49      1264
 520         476.87      1320
 521         477.26      1270
 522         477.64      1291
 523         478.03      1284
 524         478.41      1222
 525         478.80      1224
 526         479.18      1230
 527         479.57      1167
 528         479.95      1218
 529         480.34      1178
 530         480.72      1168
 531         481.11      1165
 532         481.49      1158
 533         481.88      1117
 534         482.26      1111
 535         482.65      1078
 536         483.04      1082
 537         483.42      1038
 538         483.81      1021
 539         484.19      1023
 540         484.58      1018
 541         484.96       995
 542         485.35       975
 543         485.74       978
 544         486.12       956
 545         486.51       926
 546         486.89       922
 547         487.28       890
 548         487.67       855
 549         488.05       869
 550         488.44       859
 551         488.83       823
 552         489.21       803
 553         489.60       799
 554         489.99       771
 555         490.37       762
 556         490.76       733
 557         491.14       734
 558         491.53       717
 559         491.92       697
 560         492.31       676
 561         492.69       667
 562         493.08       651
 563         493.47       646
 564         493.85       633
 565         494.24       635
 566         494.63       613
 567         495.01       600
 568         495.40       594
 569         495.79       568
 570         496.18       568
 571         496.56       561
 572         496.95       544
 573         497.34       535
 574         497.72       531
 575         498.11       520
 576         498.50       524
 577         498.89       511
 578         499.28       501
 579         499.66       510
 580         500.05       504
 581         500.44       478
 582         500.83       473
 583         501.21       475
 584         501.60       470
 585         501.99       449
 586         502.38       463
 587         502.77       446
 588         503.15       448
 589         503.54       432
 590         503.93       437
 591         504.32       423
 592         504.71       424
 593         505.09       433
 594         505.48       428
 595         505.87       415
 596         506.26       414
 597         506.65       409
 598         507.04       410
 599         507.43       414
 600         507.81       397
 601         508.20       399
 602         508.59       401
 603         508.98       379
 604         509.37       402
 605         509.76       393
 606         510.15       385
 607         510.54       380
 608         510.93       378
 609         511.31       375
 610         511.70       366
 611         512.09       382
 612         512.48       370
 613         512.87       367
 614         513.26       352
 615         513.65       355
 616         514.04       353
 617         514.43       348
 618         514.82       340
 619         515.21       347
 620         515.60       343
 621         515.99       338
 622         516.38       346
 623         516.77       325
 624         517.16       335
 625         517.55       321
 626         517.94       328
 627         518.33       317
 628         518.72       311
 629         519.11       304
 630         519.50       307
 631         519.89       294
 632         520.28       292
 633         520.67       283
 634         521.06       283
 635         521.45       287
 636         521.84       282
 637         522.23       262
 638         522.62       256
 639         523.01       262
 640         523.40       259
 641         523.79       257
 642         524.18       249
 643         524.57       244
 644         524.96       239
 645         525.35       229
 646         525.74       229
 647         526.13       222
 648         526.52       223
 649         526.91       220
 650         527.31       220
 651         527.70       212
 652         528.09       207
 653         528.48       204
 654         528.87       199
 655         529.26       197
 656         529.65       188
 657         530.04       193
 658         530.43       186
 659         530.83       179
 660         531.22       185
 661         531.61       178
 662         532.00       172
 663         532.39       167
 664         532.78       171
 665         533.17       175
 666         533.57       159
 667         533.96       164
 668         534.35       156
 669         534.74       153
 670         535.13       154
 671         535.52       149
 672         535.92       155
 673         536.31       147
 674         536.70       145
 675         537.09       151
 676         537.48       146
 677         537.88       148
 678         538.27       143
 679         538.66       138
 680         539.05       130
 681         539.45       136
 682         539.84       131
 683         540.23       134
 684         540.62       124
 685         541.02       129
 686         541.41       117
 687         541.80       122
 688         542.19       121
 689         542.59       121
 690         542.98       126
 691         543.37       116
 692         543.76       119
 693         544.16       117
 694         544.55       119
 695         544.94       118
 696         545.34       106
 697         545.73       122
 698         546.12       109
 699         546.51       111
 700         546.91       105
 701         547.30       106
 702         547.69       100
 703         548.09       106
 704         548.48       107
 705         548.87       106
 706         549.27       101
 707         549.66       104
 708         550.05       101
 709         550.45       100
 710         550.84       102
 711         551.24        97
 712         551.63       100
 713         552.02       100
 714         552.42        97
 715         552.81        98
 716         553.20        89
 717         553.60        96
 718         553.99        99
 719         554.39        94
 720         554.78        95
 721         555.17        98
 722         555.57        91
 723         555.96        90
 724         556.36        86
 725         556.75        86
 726         557.14        84
 727         557.54        90
 728         557.93        83
 729         558.33        85
 730         558.72        84
 731         559.12        83
 732         559.51        79
 733         559.91        80
 734         560.30        80
 735         560.69        76
 736         561.09        70
 737         561.48        76
 738         561.88        73
 739         562.27        69
 740         562.67        69
 741         563.06        64
 742         563.46        55
 743         563.85        59
 744         564.25        58
 745         564.64        62
 746         565.04        52
 747         565.43        55
 748         565.83        58
 749         566.22        54
 750         566.62        60
 751         567.01        58
 752         567.41        62
 753         567.80        62
 754         568.20        56
 755         568.60        59
 756         568.99        61
 757         569.39        59
 758         569.78        62
 759         570.18        59
 760         570.57        56
 761         570.97        58
 762         571.36        55
 763         571.76        58
 764         572.16        56
 765         572.55        49
 766         572.95        47
 767         573.34        59
 768         573.74        45
 769         574.14        48
 770         574.53        49
 771         574.93        52
 772         575.32        48
 773         575.72        52
 774         576.12        47
 775         576.51        50
 776         576.91        44
 777         577.31        47
 778         577.70        48
 779         578.10        44
 780         578.50        41
 781         578.89        42
 782         579.29        44
 783         579.69        40
 784         580.08        45
 785         580.48        45
 786         580.88        40
 787         581.27        47
 788         581.67        44
 789         582.07        44
 790         582.46        41
 791         582.86        45
 792         583.26        43
 793         583.65        42
 794         584.05        35
 795         584.45        38
 796         584.84        41
 797         585.24        40
 798         585.64        46
 799         586.04        39
 800         586.43        39
 801         586.83        39
 802         587.23        41
 803         587.63        35
 804         588.02        40
 805         588.42        39
 806         588.82        39
 807         589.22        43
 808         589.61        36
 809         590.01        44
 810         590.41        45
 811         590.81        41
 812         591.20        41
 813         591.60        38
