Project Name : Project Name
Sample Name : Sample Name
Measurement No : 1
Measurement Time : 10/13/2021   10:43:23

Pixel   Wavelength(nm)    Intensity
   1         284.37        33
   2         284.73        40
   3         285.08        38
   4         285.44        42
   5         285.80        44
   6         286.15        39
   7         286.51        41
   8         286.86        39
   9         287.22        37
  10         287.58        44
  11         287.93        37
  12         288.29        41
  13         288.64        40
  14         289.00        40
  15         289.36        42
  16         289.71        33
  17         290.07        37
  18         290.43        34
  19         290.78        39
  20         291.14        41
  21         291.50        39
  22         291.85        37
  23         292.21        41
  24         292.57        41
  25         292.93        41
  26         293.28        38
  27         293.64        40
  28         294.00        42
  29         294.35        44
  30         294.71        36
  31         295.07        37
  32         295.43        40
  33         295.78        41
  34         296.14        43
  35         296.50        40
  36         296.86        42
  37         297.22        44
  38         297.57        34
  39         297.93        44
  40         298.29        38
  41         298.65        43
  42         299.01        40
  43         299.36        43
  44         299.72        41
  45         300.08        44
  46         300.44        44
  47         300.80        44
  48         301.16        44
  49         301.51        43
  50         301.87        41
  51         302.23        48
  52         302.59        42
  53         302.95        44
  54         303.31        40
  55         303.67        39
  56         304.03        41
  57         304.39        37
  58         304.74        47
  59         305.10        42
  60         305.46        40
  61         305.82        45
  62         306.18        53
  63         306.54        44
  64         306.90        39
  65         307.26        39
  66         307.62        42
  67         307.98        39
  68         308.34        48
  69         308.70        41
  70         309.06        46
  71         309.42        42
  72         309.78        42
  73         310.14        40
  74         310.50        45
  75         310.86        44
  76         311.22        43
  77         311.58        51
  78         311.94        43
  79         312.30        43
  80         312.66        38
  81         313.02        40
  82         313.38        44
  83         313.74        45
  84         314.11        43
  85         314.47        46
  86         314.83        55
  87         315.19        44
  88         315.55        45
  89         315.91        46
  90         316.27        41
  91         316.63        44
  92         316.99        46
  93         317.36        48
  94         317.72        49
  95         318.08        42
  96         318.44        37
  97         318.80        44
  98         319.16        47
  99         319.52        45
 100         319.89        39
 101         320.25        42
 102         320.61        40
 103         320.97        45
 104         321.33        39
 105         321.70        42
 106         322.06        45
 107         322.42        50
 108         322.78        43
 109         323.14        45
 110         323.51        45
 111         323.87        46
 112         324.23        46
 113         324.59        44
 114         324.96        45
 115         325.32        48
 116         325.68        40
 117         326.05        44
 118         326.41        44
 119         326.77        38
 120         327.13        48
 121         327.50        42
 122         327.86        40
 123         328.22        46
 124         328.59        39
 125         328.95        41
 126         329.31        44
 127         329.68        39
 128         330.04        43
 129         330.40        41
 130         330.77        44
 131         331.13        39
 132         331.49        38
 133         331.86        40
 134         332.22        42
 135         332.59        44
 136         332.95        41
 137         333.31        40
 138         333.68        39
 139         334.04        38
 140         334.41        43
 141         334.77        44
 142         335.14        42
 143         335.50        40
 144         335.86        40
 145         336.23        43
 146         336.59        40
 147         336.96        37
 148         337.32        39
 149         337.69        46
 150         338.05        34
 151         338.42        39
 152         338.78        37
 153         339.15        41
 154         339.51        42
 155         339.88        37
 156         340.24        50
 157         340.61        42
 158         340.97        42
 159         341.34        40
 160         341.70        39
 161         342.07        45
 162         342.43        39
 163         342.80        41
 164         343.17        36
 165         343.53        42
 166         343.90        40
 167         344.26        40
 168         344.63        36
 169         344.99        44
 170         345.36        41
 171         345.73        39
 172         346.09        40
 173         346.46        36
 174         346.82        37
 175         347.19        37
 176         347.56        37
 177         347.92        41
 178         348.29        38
 179         348.66        42
 180         349.02        41
 181         349.39        38
 182         349.76        36
 183         350.12        43
 184         350.49        42
 185         350.86        39
 186         351.22        42
 187         351.59        38
 188         351.96        43
 189         352.33        43
 190         352.69        35
 191         353.06        34
 192         353.43        40
 193         353.79        37
 194         354.16        37
 195         354.53        42
 196         354.90        33
 197         355.26        39
 198         355.63        40
 199         356.00        37
 200         356.37        35
 201         356.74        39
 202         357.10        37
 203         357.47        41
 204         357.84        38
 205         358.21        41
 206         358.57        41
 207         358.94        39
 208         359.31        39
 209         359.68        37
 210         360.05        39
 211         360.42        39
 212         360.78        42
 213         361.15        37
 214         361.52        38
 215         361.89        37
 216         362.26        39
 217         362.63        40
 218         363.00        36
 219         363.37        36
 220         363.73        36
 221         364.10        42
 222         364.47        40
 223         364.84        38
 224         365.21        44
 225         365.58        42
 226         365.95        37
 227         366.32        43
 228         366.69        39
 229         367.06        40
 230         367.43        36
 231         367.80        41
 232         368.17        40
 233         368.54        41
