Project Name : Project Name
Sample Name : Sample Name
Measurement No : 1
Measurement Time : 10/13/2021   10:45:57

Pixel   Wavelength(nm)    Intensity
   1         284.37        38
   2         284.73        44
   3         285.08        43
   4         285.44        40
   5         285.80        44
   6         286.15        43
   7         286.51        39
   8         286.86        41
   9         287.22        39
  10         287.58        38
  11         287.93        37
  12         288.29        40
  13         288.64        39
  14         289.00        47
  15         289.36        43
  16         289.71        42
  17         290.07        45
  18         290.43        42
  19         290.78        44
  20         291.14        45
  21         291.50        47
  22         291.85        41
  23         292.21        42
  24         292.57        43
  25         292.93        42
  26         293.28        47
  27         293.64        39
  28         294.00        38
  29         294.35        46
  30         294.71        40
  31         295.07        41
  32         295.43        38
  33         295.78        38
  34         296.14        40
  35         296.50        49
  36         296.86        45
  37         297.22        44
  38         297.57        42
  39         297.93        46
  40         298.29        49
  41         298.65        48
  42         299.01        42
  43         299.36        36
  44         299.72        45
  45         300.08        41
  46         300.44        42
  47         300.80        44
  48         301.16        42
  49         301.51        51
  50         301.87        46
  51         302.23        41
  52         302.59        41
  53         302.95        49
  54         303.31        41
  55         303.67        45
  56         304.03        48
  57         304.39        42
  58         304.74        42
  59         305.10        38
  60         305.46        46
  61         305.82        37
  62         306.18        46
  63         306.54        41
  64         306.90        34
  65         307.26        44
  66         307.62        43
  67         307.98        46
  68         308.34        41
  69         308.70        43
  70         309.06        39
  71         309.42        41
  72         309.78        40
  73         310.14        47
  74         310.50        39
  75         310.86        40
  76         311.22        42
  77         311.58        45
  78         311.94        40
  79         312.30        36
  80         312.66        44
  81         313.02        39
  82         313.38        42
  83         313.74        44
  84         314.11        38
  85         314.47        41
  86         314.83        50
  87         315.19        44
  88         315.55        38
  89         315.91        37
  90         316.27        45
  91         316.63        39
  92         316.99        42
  93         317.36        35
  94         317.72        40
  95         318.08        41
  96         318.44        39
  97         318.80        44
  98         319.16        41
  99         319.52        37
 100         319.89        39
 101         320.25        43
 102         320.61        40
 103         320.97        39
 104         321.33        42
 105         321.70        41
 106         322.06        46
 107         322.42        38
 108         322.78        35
 109         323.14        38
 110         323.51        44
 111         323.87        34
 112         324.23        38
 113         324.59        38
 114         324.96        42
 115         325.32        35
 116         325.68        38
 117         326.05        35
 118         326.41        36
 119         326.77        35
 120         327.13        39
 121         327.50        41
 122         327.86        32
 123         328.22        42
 124         328.59        35
 125         328.95        40
 126         329.31        38
 127         329.68        35
 128         330.04        41
 129         330.40        33
 130         330.77        38
 131         331.13        39
 132         331.49        38
 133         331.86        38
 134         332.22        39
 135         332.59        41
 136         332.95        37
 137         333.31        34
 138         333.68        29
 139         334.04        33
 140         334.41        41
 141         334.77        40
 142         335.14        40
 143         335.50        41
 144         335.86        42
 145         336.23        37
 146         336.59        31
 147         336.96        39
 148         337.32        34
 149         337.69        38
 150         338.05        28
 151         338.42        34
 152         338.78        33
 153         339.15        41
 154         339.51        40
 155         339.88        37
 156         340.24        36
 157         340.61        39
 158         340.97        38
 159         341.34        31
 160         341.70        38
 161         342.07        39
 162         342.43        39
 163         342.80        32
 164         343.17        39
 165         343.53        32
 166         343.90        34
 167         344.26        32
 168         344.63        39
 169         344.99        45
 170         345.36        31
 171         345.73        35
 172         346.09        36
 173         346.46        41
 174         346.82        41
 175         347.19        33
 176         347.56        37
 177         347.92        39
 178         348.29        40
 179         348.66        41
 180         349.02        38
 181         349.39        39
 182         349.76        38
 183         350.12        38
 184         350.49        39
 185         350.86        38
 186         351.22        36
 187         351.59        39
 188         351.96        37
 189         352.33        38
 190         352.69        39
 191         353.06        43
 192         353.43        39
 193         353.79        40
 194         354.16        41
 195         354.53        37
 196         354.90        39
 197         355.26        37
 198         355.63        38
 199         356.00        39
 200         356.37        37
 201         356.74        41
 202         357.10        39
 203         357.47        41
 204         357.84        41
 205         358.21        41
 206         358.57        40
 207         358.94        38
 208         359.31        38
 209         359.68        39
 210         360.05        40
 211         360.42        38
 212         360.78        43
 213         361.15        37
 214         361.52        38
 215         361.89        45
 216         362.26        41
 217         362.63        40
 218         363.00        42
 219         363.37        43
 220         363.73        44
 221         364.10        38
 222         364.47        38
 223         364.84        46
 224         365.21        38
 225         365.58        40
 226         365.95        41
 227         366.32        42
 228         366.69        44
 229         367.06        39
 230         367.43        38
 231         367.80        49
 232         368.17        41
 233         368.54        41
 234         368.90        39
 235         369.27        40
 236         369.64        41
 237         370.01        41
 238         370.38        45
 239         370.75        42
 240         371.12        42
 241         371.49        41
 242         371.86        43
 243         372.23        39
 244         372.61        43
 245         372.98        46
 246         373.35        36
 247         373.72        48
 248         374.09        50
 249         374.46        40
 250         374.83        48
 251         375.20        42
 252         375.57        41
 253         375.94        37
 254         376.31        43
 255         376.68        41
 256         377.05        48
 257         377.42        40
 258         377.79        45
 259         378.17        43
 260         378.54        47
 261         378.91        37
 262         379.28        44
 263         379.65        38
 264         380.02        42
 265         380.39        43
 266         380.77        43
 267         381.14        47
 268         381.51        47
 269         381.88        44
 270         382.25        42
 271         382.62        42
 272         383.00        41
 273         383.37        41
 274         383.74        41
 275         384.11        43
 276         384.48        40
 277         384.86        51
 278         385.23        43
 279         385.60        41
 280         385.97        46
 281         386.35        44
 282         386.72        46
 283         387.09        40
 284         387.46        40
 285         387.84        35
 286         388.21        44
 287         388.58        40
 288         388.95        42
 289         389.33        39
 290         389.70        47
 291         390.07        40
 292         390.44        44
 293         390.82        44
 294         391.19        39
 295         391.56        38
 296         391.94        44
 297         392.31        37
 298         392.68        41
 299         393.06        37
 300         393.43        41
 301         393.80        43
 302         394.18        36
 303         394.55        41
 304         394.92        43
 305         395.30        43
 306         395.67        45
 307         396.05        43
 308         396.42        42
 309         396.79        36
 310         397.17        44
 311         397.54        39
 312         397.92        40
 313         398.29        41
 314         398.66        39
 315         399.04        45
 316         399.41        39
 317         399.79        40
 318         400.16        34
 319         400.54        40
 320         400.91        40
 321         401.28        41
 322         401.66        43
 323         402.03        37
 324         402.41        42
 325         402.78        41
 326         403.16        40
 327         403.53        42
 328         403.91        36
 329         404.28        39
 330         404.66        41
 331         405.03        40
 332         405.41        40
 333         405.78        38
 334         406.16        41
 335         406.53        39
 336         406.91        37
 337         407.29        39
 338         407.66        38
 339         408.04        42
 340         408.41        40
 341         408.79        39
 342         409.16        38
 343         409.54        38
 344         409.92        39
 345         410.29        38
 346         410.67        38
 347         411.04        34
 348         411.42        39
 349         411.79        42
 350         412.17        43
 351         412.55        43
 352         412.92        38
 353         413.30        39
 354         413.68        40
 355         414.05        44
 356         414.43        38
 357         414.81        39
 358         415.18        38
 359         415.56        39
 360         415.94        40
 361         416.31        41
 362         416.69        45
 363         417.07        36
 364         417.44        31
 365         417.82        38
 366         418.20        37
 367         418.57        36
 368         418.95        37
 369         419.33        38
 370         419.71        33
 371         420.08        38
 372         420.46        39
 373         420.84        42
 374         421.21        32
 375         421.59        38
 376         421.97        40
 377         422.35        43
 378         422.72        43
 379         423.10        38
 380         423.48        42
 381         423.86        38
 382         424.24        36
 383         424.61        38
 384         424.99        39
 385         425.37        36
 386         425.75        35
 387         426.13        40
 388         426.50        40
 389         426.88        39
 390         427.26        42
 391         427.64        43
 392         428.02        35
 393         428.40        36
 394         428.77        41
 395         429.15        41
 396         429.53        37
 397         429.91        38
 398         430.29        37
 399         430.67        43
 400         431.05        39
 401         431.42        41
 402         431.80        45
 403         432.18        44
 404         432.56        41
 405         432.94        41
 406         433.32        41
 407         433.70        44
 408         434.08        40
 409         434.46        39
 410         434.84        43
 411         435.22        45
 412         435.60        46
 413         435.98        42
 414         436.35        40
 415         436.73        41
 416         437.11        38
 417         437.49        46
 418         437.87        45
 419         438.25        39
 420         438.63        44
 421         439.01        43
 422         439.39        45
 423         439.77        39
 424         440.15        42
 425         440.53        45
 426         440.91        42
 427         441.29        40
 428         441.67        43
 429         442.05        38
 430         442.43        38
 431         442.81        39
 432         443.19        40
 433         443.58        41
 434         443.96        40
 435         444.34        44
 436         444.72        45
 437         445.10        37
 438         445.48        38
 439         445.86        41
 440         446.24        44
 441         446.62        45
 442         447.00        40
 443         447.38        47
 444         447.76        39
 445         448.15        41
 446         448.53        44
 447         448.91        49
 448         449.29        45
 449         449.67        42
 450         450.05        43
 451         450.43        50
 452         450.81        41
 453         451.20        44
 454         451.58        44
 455         451.96        44
 456         452.34        50
 457         452.72        41
 458         453.10        34
 459         453.49        42
 460         453.87        42
 461         454.25        47
 462         454.63        41
 463         455.01        40
 464         455.40        42
 465         455.78        42
 466         456.16        43
 467         456.54        42
 468         456.92        41
 469         457.31        43
 470         457.69        48
 471         458.07        43
 472         458.45        46
 473         458.84        36
 474         459.22        41
 475         459.60        42
 476         459.98        48
 477         460.37        45
 478         460.75        42
 479         461.13        47
 480         461.52        46
 481         461.90        41
 482         462.28        46
 483         462.66        46
 484         463.05        43
 485         463.43        40
 486         463.81        45
 487         464.20        40
 488         464.58        45
 489         464.96        44
 490         465.35        43
 491         465.73        42
 492         466.11        42
 493         466.50        38
 494         466.88        43
 495         467.27        38
 496         467.65        46
 497         468.03        46
 498         468.42        39
 499         468.80        43
 500         469.18        42
 501         469.57        44
 502         469.95        44
 503         470.34        41
 504         470.72        39
 505         471.10        36
 506         471.49        42
 507         471.87        46
 508         472.26        46
 509         472.64        42
 510         473.03        39
 511         473.41        47
 512         473.79        45
 513         474.18        44
 514         474.56        41
 515         474.95        46
 516         475.33        46
 517         475.72        46
 518         476.10        50
 519         476.49        44
 520         476.87        47
 521         477.26        50
 522         477.64        43
 523         478.03        47
 524         478.41        46
 525         478.80        47
 526         479.18        47
 527         479.57        49
 528         479.95        42
 529         480.34        51
 530         480.72        46
 531         481.11        48
 532         481.49        50
 533         481.88        47
 534         482.26        49
 535         482.65        49
 536         483.04        50
 537         483.42        50
 538         483.81        51
 539         484.19        47
 540         484.58        47
 541         484.96        51
 542         485.35        55
 543         485.74        58
 544         486.12        52
 545         486.51        56
 546         486.89        61
 547         487.28        55
 548         487.67        55
 549         488.05        61
 550         488.44        58
 551         488.83        56
 552         489.21        53
 553         489.60        62
 554         489.99        60
 555         490.37        63
 556         490.76        64
 557         491.14        65
 558         491.53        67
 559         491.92        68
 560         492.31        62
 561         492.69        63
 562         493.08        65
 563         493.47        70
 564         493.85        65
 565         494.24        70
 566         494.63        68
 567         495.01        68
 568         495.40        72
 569         495.79        68
 570         496.18        66
 571         496.56        69
 572         496.95        72
 573         497.34        75
 574         497.72        75
 575         498.11        80
 576         498.50        86
 577         498.89        77
 578         499.28        78
 579         499.66        84
 580         500.05        89
 581         500.44        87
 582         500.83        90
 583         501.21        89
 584         501.60        86
 585         501.99       100
 586         502.38       105
 587         502.77        96
 588         503.15       109
 589         503.54       104
 590         503.93       106
 591         504.32       103
