Project Name : Project Name
Sample Name : Sample Name
Measurement No : 1
Measurement Time : 10/13/2021   10:46:40

Pixel   Wavelength(nm)    Intensity
   1         284.37        40
   2         284.73        37
   3         285.08        34
   4         285.44        35
   5         285.80        37
   6         286.15        36
   7         286.51        42
   8         286.86        39
   9         287.22        33
  10         287.58        37
  11         287.93        35
  12         288.29        35
  13         288.64        37
  14         289.00        31
  15         289.36        42
  16         289.71        36
  17         290.07        36
  18         290.43        38
  19         290.78        35
  20         291.14        36
  21         291.50        38
  22         291.85        40
  23         292.21        35
  24         292.57        41
  25         292.93        34
  26         293.28        40
  27         293.64        36
  28         294.00        39
  29         294.35        36
  30         294.71        42
  31         295.07        38
  32         295.43        29
  33         295.78        39
  34         296.14        41
  35         296.50        42
  36         296.86        35
  37         297.22        41
  38         297.57        39
  39         297.93        34
  40         298.29        37
  41         298.65        36
  42         299.01        41
  43         299.36        33
  44         299.72        32
  45         300.08        32
  46         300.44        36
  47         300.80        37
  48         301.16        31
  49         301.51        32
  50         301.87        34
  51         302.23        38
  52         302.59        37
  53         302.95        36
  54         303.31        34
  55         303.67        34
  56         304.03        35
  57         304.39        34
  58         304.74        36
  59         305.10        37
  60         305.46        38
  61         305.82        33
  62         306.18        32
  63         306.54        35
  64         306.90        36
  65         307.26        37
  66         307.62        33
  67         307.98        32
  68         308.34        28
  69         308.70        38
  70         309.06        39
  71         309.42        37
  72         309.78        37
  73         310.14        41
  74         310.50        34
  75         310.86        31
  76         311.22        34
  77         311.58        38
  78         311.94        38
  79         312.30        39
  80         312.66        38
  81         313.02        40
  82         313.38        38
  83         313.74        37
  84         314.11        38
  85         314.47        40
  86         314.83        50
  87         315.19        39
  88         315.55        38
  89         315.91        37
  90         316.27        37
  91         316.63        35
  92         316.99        34
  93         317.36        45
  94         317.72        35
  95         318.08        39
  96         318.44        35
  97         318.80        45
  98         319.16        36
  99         319.52        37
 100         319.89        40
 101         320.25        43
 102         320.61        38
 103         320.97        43
 104         321.33        39
 105         321.70        36
 106         322.06        43
 107         322.42        46
 108         322.78        43
 109         323.14        42
 110         323.51        43
 111         323.87        37
 112         324.23        45
 113         324.59        41
 114         324.96        41
 115         325.32        37
 116         325.68        42
 117         326.05        44
 118         326.41        42
 119         326.77        41
 120         327.13        46
 121         327.50        48
 122         327.86        41
 123         328.22        42
 124         328.59        41
 125         328.95        38
 126         329.31        45
 127         329.68        37
 128         330.04        42
 129         330.40        42
 130         330.77        42
 131         331.13        45
 132         331.49        44
 133         331.86        44
 134         332.22        42
 135         332.59        43
 136         332.95        47
 137         333.31        47
 138         333.68        43
 139         334.04        45
 140         334.41        44
 141         334.77        41
 142         335.14        44
 143         335.50        47
 144         335.86        42
 145         336.23        38
 146         336.59        39
 147         336.96        46
 148         337.32        46
 149         337.69        46
 150         338.05        46
 151         338.42        42
 152         338.78        39
 153         339.15        44
 154         339.51        49
 155         339.88        49
 156         340.24        39
 157         340.61        38
 158         340.97        41
 159         341.34        44
 160         341.70        39
 161         342.07        41
 162         342.43        43
 163         342.80        49
 164         343.17        39
 165         343.53        46
 166         343.90        49
